APPLICATION_NAME,APPLICATION_DESCRIPTION,EONID,GRN,ITSO,BUSO,STORAGE_TYPE,CLOUD_STORAGE,SOURCE_SYSTEM,REGION,ENVIRONMENT,VERSION,DATABASE_NAME,DATABASE_OWNER,DATABASE_DESCRIPTION,LOGICAL_NAME,DATABASE_CREATED_DATE,DATABASE_ALTERED_DATE,TABLE_SCHEMA,SCHEMA_OWNER,SCHEMA_DESCRIPTION,SCHEMA_CREATED_DATE,SCHEMA_ALTERED_DATE,TABLE_NAME,TABLE_DESCRIPTION,TABLE_TYPE,TABLE_OWNER,TABLE_CREATED_DATE,TABLE_ALTERED_DATE,COLUMN_ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,DATATYPE_LENGTH,COLUMN_DESCRIPTION,IS_NULLABLE,SAMPLE_VALUE,PRIMARYKEY_INDICATOR,ALLOW_DELETION
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOG,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:28.000Z,2023-09-22T15:11:52.000Z,11,LIQUIBASE,TEXT,20,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOG,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:28.000Z,2023-09-22T15:11:52.000Z,12,CONTEXTS,TEXT,255,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOG,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:28.000Z,2023-09-22T15:11:52.000Z,13,LABELS,TEXT,255,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOG,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:28.000Z,2023-09-22T15:11:52.000Z,14,DEPLOYMENT_ID,TEXT,10,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOGLOCK,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:29.000Z,2023-09-22T15:11:52.000Z,1,ID,NUMBER,38,"",NO,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOGLOCK,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:29.000Z,2023-09-22T15:11:52.000Z,2,LOCKED,BOOLEAN,"","",NO,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOGLOCK,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:29.000Z,2023-09-22T15:11:52.000Z,3,LOCKGRANTED,TIMESTAMP_NTZ,9,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,DATABASECHANGELOGLOCK,"",BASE TABLE,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:29.000Z,2023-09-22T15:11:52.000Z,4,LOCKEDBY,TEXT,255,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,SF_FDC_CATALOG_V,"",VIEW,RUNWAY_305048_DEV_FININFRA,2023-09-22T15:11:26.000Z,2023-09-22T15:11:27.000Z,1,APPLICATION_NAME,TEXT,250,"",YES,"","",FALSE
Finance Reporting Analytics,"This application and its databases provide shared functionality, data consumption, and reporting across Finance Technology as we migrate our systems to the cloud.Currently, various on-premise Finance systems maintain duplicate upstream data individually, and maintain separate code bases for similar functionalities that we intend to avoid in the cloud by building shared databases, APIs, and a Finance Reporting Portal,The initial target users are other Finance applications that will interface with this application/database as they migrate to the cloud, but the system will be directly accessible (via a Reporting/Portal) by Finance business users eventually once we have a number of Finance applications migrated to the cloud.This application does not store calculation rules, nor process/transform data; only facilitates unified data sharing and reporting.",305048,grn:/ms/FinanceReportingAnalytics/FinanceReportingAnalytics,"fasikam,rajagoun","anantvas,dchitnis,guptpank",Cloud Storage,Snowflake,Snowflake,F3RTXH1.AZURE_EASTUS2,DEVVPS,7.33.1,FININFRA_DB,ACCOUNTADMIN,"created by sfss request_id `nypsf-415674`, application `FININFRA`",fininfra.FININFRA_DB,2023-09-21T17:37:16.000Z,2023-09-21T17:37:16.000Z,CASC,ACCOUNTADMIN,"created by sfss request_id `nypsf-415890`, application `fininfra`",2023-09-21T18:14:08.000Z,2023-09-21T18:14:08.000Z,SF_FDC_CATALOG_V,"",VIEW,RUNWAY_305048_DEV_FININFRA,2023-09-22T14:46:33.000Z,2023-09-25T15:20:09.000Z,1,APPLICATION_NAME,TEXT,1,"",YES,"","",FALSE
